                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1532,                0.61555,                0.95393,                0.92274,                 0.8563,                 0.9399,                 0.5724,                 1.1984,                0.58335,                0.94209,               0.008878,               0.008878,               0.008878
                     37,                 1.1483,                0.61632,                0.95666,                0.90477,                 0.8563,                0.93432,                 0.5859,                 1.1768,                0.58135,                0.94408,               0.008845,               0.008845,               0.008845
                     38,                 1.1596,                0.60854,                0.95779,                0.92941,                0.84751,                0.93931,                0.57946,                 1.2094,                0.60267,                0.95472,               0.008812,               0.008812,               0.008812
                     39,                 1.1362,                0.59381,                0.95083,                 0.9452,                0.84751,                0.93863,                0.58331,                 1.2006,                0.57223,                0.95681,               0.008779,               0.008779,               0.008779
                     40,                 1.1383,                0.60653,                0.95348,                0.91871,                0.85337,                0.93036,                0.57111,                 1.2013,                0.57307,                0.95532,               0.008746,               0.008746,               0.008746
                     41,                 1.1492,                0.60846,                0.95707,                0.93993,                0.83871,                0.92754,                0.56887,                 1.2499,                0.58712,                0.94298,               0.008713,               0.008713,               0.008713
                     42,                 1.1475,                0.60075,                0.95499,                0.93208,                0.84514,                0.93544,                0.58848,                 1.2165,                0.57385,                0.95352,                0.00868,                0.00868,                0.00868
                     43,                 1.1423,                0.60678,                0.95086,                0.95018,                0.83871,                0.93477,                 0.5941,                 1.1976,                0.58318,                0.94376,               0.008647,               0.008647,               0.008647
                     44,                 1.1385,                0.60896,                0.95453,                0.92786,                0.86217,                0.93588,                0.58008,                 1.1953,                0.56166,                0.94951,               0.008614,               0.008614,               0.008614
                     45,                 1.1408,                0.60063,                0.95318,                0.92207,                0.84164,                0.93081,                0.57328,                 1.2051,                 0.5762,                0.95322,               0.008581,               0.008581,               0.008581
                     46,                 1.1496,                0.60318,                0.94619,                0.93591,                0.83578,                0.93688,                0.58606,                  1.203,                 0.5636,                0.95013,               0.008548,               0.008548,               0.008548
                     47,                 1.1282,                0.59515,                0.94867,                0.93824,                0.84645,                0.93168,                0.57194,                  1.222,                0.58047,                0.95624,               0.008515,               0.008515,               0.008515
                     48,                 1.1343,                0.59732,                 0.9525,                0.95937,                0.83091,                0.93236,                0.58303,                 1.2148,                0.56875,                0.94297,               0.008482,               0.008482,               0.008482
                     49,                 1.1377,                0.59496,                0.94929,                0.91667,                0.82991,                0.92465,                0.55329,                 1.2461,                0.61912,                0.94716,               0.008449,               0.008449,               0.008449
                     50,                 1.1211,                0.59113,                0.94529,                0.93192,                0.86217,                0.93798,                0.59047,                 1.1769,                 0.5697,                0.94462,               0.008416,               0.008416,               0.008416
                     51,                 1.1104,                0.58239,                0.94355,                0.95501,                0.84164,                0.94386,                0.59966,                 1.1829,                0.54333,                 0.9412,               0.008383,               0.008383,               0.008383
                     52,                 1.1118,                 0.5813,                 0.9405,                0.90569,                 0.8827,                0.94355,                0.58766,                 1.1681,                  0.536,                0.93667,                0.00835,                0.00835,                0.00835
                     53,                 1.1102,                 0.5794,                0.94471,                0.95252,                0.82363,                0.92398,                 0.5731,                 1.2371,                0.56837,                0.94824,               0.008317,               0.008317,               0.008317
                     54,                 1.1203,                0.58663,                0.94523,                0.89927,                 0.8827,                0.94225,                 0.6008,                 1.1552,                0.56863,                0.93188,               0.008284,               0.008284,               0.008284
                     55,                 1.1076,                 0.5724,                0.94358,                0.92927,                0.83871,                0.93235,                0.59494,                 1.1991,                0.54147,                0.93614,               0.008251,               0.008251,               0.008251
                     56,                 1.1171,                0.58223,                0.94172,                 0.9477,                0.85016,                0.94669,                0.59804,                  1.176,                0.54228,                0.93676,               0.008218,               0.008218,               0.008218
                     57,                 1.0949,                 0.5707,                 0.9356,                0.94151,                0.85337,                0.93935,                  0.585,                 1.2037,                0.55249,                0.94297,               0.008185,               0.008185,               0.008185
                     58,                 1.0962,                0.57058,                0.94267,                0.92573,                 0.8651,                0.93641,                0.57707,                 1.2238,                0.56642,                0.94359,               0.008152,               0.008152,               0.008152
                     59,                 1.1125,                0.57658,                0.94431,                0.89799,                0.85337,                0.90799,                0.54482,                 1.2579,                0.60107,                0.94987,               0.008119,               0.008119,               0.008119
